version,suite,seed,channel,first_found_time_s,clear_time_s,supplement_measure_count,supplement_measure_points_json,supplement_measure_times_json,supplement_mec_before_json,supplement_mec_after_json,supplement_arrival_move_json,supplement_at_search_json,final_clear_mec_m,found_after_extra_move_m,off_search_supplement_move_m,off_search_supplement_count,threshold_chasing_20_30_count,first_supplement_clearable,first_supplement_bucket,waited_search_supplement_count,wait_saved_dedicated_proxy_count
v6,random,9,8,575.204155,1385.116773,4,"[[121.90779853757556,953.5312399158765],[5.743963417062496e-14,938.0604140004557],[16.89085253943614,783.6082570842319],[491.7824677870862,1606.8725949613931]]","[1043.33741,1109.91452,1182.98912,1378.071862]","[550.9884200808939,44.274060789115794,39.56148126172486,39.06768780675119]","[44.274060789115794,39.56148126172486,39.06768780675119,10.224552589366652]","[1109.4177908458387,0.0,155.37300175893748,950.4137079466199]","[false,true,false,false]",10.224552589366652,2225.429053140767,2215.204500551396,3,0,0,30_50,1,0
v6,random,9,9,360.612083,815.453852,2,"[[663.3088799023825,663.3088799023825],[1055.8531761853092,1087.653768264229]]","[581.204155,760.516091]","[643.9105144018497,33.75397372565264]","[33.75397372565264,13.977017612056624]","[0.0,161.29962294254204]","[true,false]",13.977017612056624,410.9884273174157,161.29962294254204,1,0,0,30_50,1,0
v6,random,9,11,3311.962519,3542.105669,2,"[[1168.5559221330159,-766.6264981532688],[1212.3122453273177,-1148.912259822556]]","[3455.149313,3537.105669]","[431.6776497533693,27.50252625208911]","[27.50252625208911,0.0]","[246.8244461592167,384.78178152629744]","[false,false]",27.50252625208911,631.6062276855141,631.6062276855141,2,1,0,25_30,0,0
v6,random,9,12,2586.460326,3102.992773,2,"[[-1.7231890251187485e-13,-938.0604140004557],[30.833907432920114,-1520.3951510628015]]","[2777.052398,3048.151234]","[750.2750601629979,63.295186570889385]","[63.295186570889385,10.773938366993699]","[0.0,263.6745731927829]","[true,false]",10.773938366993699,512.8822688977505,263.6745731927829,1,0,0,gt50,1,0
v6,random,9,14,83.0,3206.295635,1,"[[-1.7231890251187485e-13,-938.0604140004557]]",[2765.052398],[750.3628577391625],[19.04618523009635],[0.0],[true],19.04618523009635,491.51431178974775,0,0,0,1,le20_or_near,1,1
v6,random,9,16,324.612083,3399.784424,1,"[[663.3088799023823,-663.3088799023825]]",[3329.962519],[750.4017745078285],[12.605785368294395],[0.0],[true],12.605785368294395,294.10952580874226,0,0,0,1,le20_or_near,1,1
v6,random,9,18,312.612083,722.256166,2,"[[663.3088799023825,663.3088799023825],[994.8956737608295,946.0109418131508]]","[623.204155,715.352364]","[748.6919692582773,31.30561207524272]","[31.30561207524272,9.519011050287773]","[0.0,435.7410442796548]","[true,false]",9.519011050287773,445.2600553299409,435.7410442796548,1,0,0,30_50,0,0
v6,random,9,19,113.0,2371.711564,1,"[[-750.061804085466,522.5233689662643]]",[1981.631994],[750.3999014509095],[17.71279633142451],[165.3681648439617],[false],17.71279633142451,389.37762760438017,165.3681648439617,1,0,1,le20_or_near,0,0
v6,random,9,20,119.0,2392.357053,2,"[[-938.0604140004557,1.148792683412499e-13],[-563.2598527426752,227.29168138198838]]","[2098.694886,2321.909671]","[750.4017745078289,146.89560722986963]","[146.89560722986963,7.691599796221043]","[555.3144590642523,546.9839535035296]","[true,false]",7.691599796221043,625.2113966231279,546.9839535035296,1,0,0,gt50,1,0
v6,min_reff,10000,1,664.36248,987.411633,1,"[[-1355.6601268893269,-654.5991235304151]]",[868.257324],[445.2981127303822],[16.248798036020258],[491.7529981858141],[false],16.248798036020258,670.9436222326298,491.7529981858141,1,0,1,le20_or_near,0,0
v6,min_reff,10000,2,2518.835236,3022.272729,2,"[[1021.6911733952404,-840.1221950131917],[1094.0123951335663,-943.0340777840308]]","[2887.331946,2917.488428]","[526.3531352652462,23.48879602584835]","[23.48879602584835,19.634291056000286]","[592.2237909887612,125.78241025343347]","[false,false]",19.634291056000286,1216.927703839727,718.0062012421946,2,1,0,20_25,0,0
v6,min_reff,10000,3,17.0,1551.83353,2,"[[-663.3088799023824,663.3088799023825],[-632.8965142853825,267.17486988285555]]","[1287.356767,1475.884183]","[750.4017745078258,257.0033230266965]","[257.0033230266965,9.25129672554746]","[0.0,332.83241038517997]","[true,false]",9.25129672554746,687.5791461335575,332.83241038517997,1,0,0,gt50,1,0
v6,min_reff,10000,4,331.041736,764.906724,1,"[[-938.0604140004557,1.148792683412499e-13]]",[652.36248],[725.3239553599936],[17.34049437031067],[0.0],[true],17.34049437031067,477.7212216627429,0,0,0,1,le20_or_near,1,1
v6,min_reff,10000,5,646.36248,1403.317701,1,"[[-663.3088799023824,663.3088799023825]]",[1293.356767],[750.4030345868983],[18.736955307140992],[0.0],[true],18.736955307140992,224.804667679082,0,0,0,1,le20_or_near,0,0
v6,min_reff,10000,6,3200.34685,4051.493721,2,"[[693.1817083701833,-1424.9966674303328],[1186.46367540444,-1255.8796411313629]]","[3935.110832,4044.4042]","[431.68983313511416,20.89520641283132]","[20.89520641283132,10.447603206415499]","[617.5285040795692,521.466842268415]","[false,false]",10.447603206415499,1149.4429495543998,1138.9953463479842,2,1,0,20_25,0,0
v6,min_reff,10000,7,3206.34685,3805.605131,2,"[[-1.7231890251187485e-13,-938.0604140004557],[77.3536104469739,-1397.5185825110218]]","[3438.938922,3797.559439]","[725.4805873090049,30.504137264496404]","[30.504137264496404,15.228461772167586]","[0.0,652.9768295763828]","[true,false]",15.228461772167586,668.2052913485497,652.9768295763828,1,0,0,30_50,1,0
v6,min_reff,10000,9,2494.835236,2762.887188,2,"[[1119.1239656276437,-532.1894532475694],[1121.9766360314616,-654.7197957294331]]","[2637.264703,2666.777412]","[504.34895740230087,49.45852988626894]","[49.45852988626894,0.22579038286998887]","[562.1473328904071,122.56354497629235]","[false,false]",0.22579038286998887,1140.2597563530276,684.7108778666995,2,0,0,30_50,0,0
v6,min_reff,10000,10,59.0,483.368027,2,"[[-536.7952817431922,-570.243298757538],[-663.3088799023825,-663.3088799023824]]","[281.630341,367.041736]","[750.4017745078305,29.307850970825466]","[29.307850970825466,19.599571635763045]","[783.1517057886242,0.0]","[false,true]",19.599571635763045,1069.7831583005582,783.1517057886242,1,0,0,25_30,0,0
v6,min_reff,10000,13,1728.42661,2192.793974,2,"[[663.3088799023825,663.3088799023825],[1123.3771489245694,893.4018748586074]]","[1961.018682,2087.89834]","[606.7957696441673,35.335356402152584]","[35.335356402152584,18.41379795704539]","[0.0,514.3982877974971]","[true,false]",18.41379795704539,1013.8764558261701,514.3982877974971,1,0,0,30_50,1,0
v6,min_reff,10000,14,83.0,1638.522543,1,"[[-702.4850122557203,588.1669523620883]]",[1258.408518],[750.4038574975831],[16.127543512838628],[1042.3777881557664],[false],16.127543512838628,1450.822851012704,1042.3777881557664,1,0,1,le20_or_near,0,0
v6,min_reff,10000,16,397.041736,3470.511261,1,"[[-1.7231890251187485e-13,-938.0604140004557]]",[3408.938922],[750.4017745078273],[14.376362771626537],[0.0],[true],14.376362771626537,132.86169483643164,0,0,0,1,le20_or_near,1,1
v6,min_reff,10000,17,403.041736,3660.964073,2,"[[-1.7231890251187485e-13,-938.0604140004557],[-86.02414269879296,-1408.937581813455]]","[3402.938922,3557.942655]","[531.6788401881461,27.510268600080842]","[27.510268600080842,0.036399892605810495]","[0.0,407.1569716435127]","[true,false]",0.036399892605810495,897.264062529608,407.1569716435127,1,1,0,25_30,0,0
v6,min_reff,10000,19,586.36248,1043.93296,1,"[[-1618.6823779761037,-406.4861320709782]]",[946.573508],[431.4382166251904],[13.914104052940795],[361.5809191560114],[false],13.914104052940795,619.1875528872374,361.5809191560114,1,0,1,le20_or_near,0,0
v6,min_reff,10001,1,2848.587364,3427.686193,1,"[[-1038.517898967216,1438.9909369478128]]",[3333.054429],[528.8505373429488],[15.22740074708684],[36.177882152726575],[false],15.22740074708684,484.3367001103478,36.177882152726575,1,0,1,le20_or_near,0,0
v6,min_reff,10001,2,1791.470325,2149.061965,2,"[[-663.3088799023825,-663.3088799023824],[-656.5725769765534,-732.486458044355]]","[1952.062397,2043.963354]","[605.6942029927575,20.655376305963088]","[20.655376305963088,19.693447560712002]","[0.0,69.50478468923748]","[true,false]",19.693447560712002,569.9978390912677,69.50478468923748,1,1,0,20_25,0,0
v6,min_reff,10001,3,17.0,3650.331939,2,"[[5.743963417062496e-14,938.0604140004557],[51.27449634715552,967.8241860645837]]","[3626.572331,3643.429744]","[750.3526368479711,20.92261744683529]","[20.92261744683529,9.510973984577326]","[0.0,59.287065226234866]","[true,false]",9.510973984577326,68.79803921081083,59.287065226234866,1,1,0,20_25,1,0
v6,min_reff,10001,4,1300.045377,1533.473472,1,"[[679.451966772529,-1157.8214259330575]]",[1477.00057],[436.65235896568345],[8.762277833966621],[494.77596691375135],[false],8.762277833966621,752.1404791212287,494.77596691375135,1,0,1,le20_or_near,0,0
v6,min_reff,10001,5,1958.062397,2633.676985,2,"[[-938.0604140004557,1.148792683412499e-13],[-1369.077089182251,182.07622213545147]]","[2473.951166,2579.530464]","[721.6112593262875,34.17144730566041]","[34.17144730566041,9.16926855712791]","[0.0,467.8964895699555]","[true,false]",9.16926855712791,713.6290965658989,467.8964895699555,1,0,0,30_50,1,0
v6,min_reff,10001,8,47.0,869.487948,2,"[[938.0604140004557,0.0],[663.3088799023825,663.3088799023825]]","[383.612083,627.656973]","[750.4017745078289,31.565687232021624]","[31.565687232021624,14.59426970462816]","[0.0,0.0]","[true,true]",14.59426970462816,687.9706168079396,0,0,0,0,30_50,1,1
v6,min_reff,10001,9,377.612083,1142.548588,1,"[[873.9290797465272,-578.4881155787424]]",[1041.076583],[493.9411963656928],[11.111827657873116],[827.9431753746007],[false],11.111827657873116,1310.303201555499,827.9431753746007,1,0,1,le20_or_near,0,0
v6,min_reff,10001,14,2431.951166,3010.192632,1,"[[-663.3088799023824,663.3088799023825]]",[2890.587364],[686.0689093477814],[14.14236997775422],[0.0],[true],14.14236997775422,453.0263400606026,0,0,0,1,le20_or_near,1,1
v6,min_reff,10001,16,2902.587364,3319.818853,2,"[[-1291.017311174789,811.6998370589322],[-1039.8652893032322,1401.784258438182]]","[3118.628402,3313.36798]","[443.4205473170988,30.48288928366303]","[30.48288928366303,7.254366755274308]","[512.1788515049326,251.24659798751966]","[false,false]",7.254366755274308,770.6798162477332,763.4254494924522,2,0,0,30_50,0,0
v6,min_reff,10001,17,329.612083,726.893825,1,"[[663.3088799023825,663.3088799023825]]",[675.656973],[750.4017745078272],[12.807998047807953],[0.0],[true],12.807998047807953,171.18426087793867,0,0,0,1,le20_or_near,1,1
v6,min_reff,10001,18,2908.587364,3257.11866,1,"[[-1428.740751489668,1005.0702987816716]]",[3172.108874],[432.7296452621606],[15.405559720587574],[237.40236199126457],[false],15.405559720587574,637.4512942687512,237.40236199126457,1,0,1,le20_or_near,0,0
v6,min_reff,10001,20,119.0,483.154662,2,"[[938.0604140004557,0.0],[958.0445427504283,251.71162594602737]]","[311.612083,476.112819]","[750.2500266456417,20.422942803769438]","[20.422942803769438,10.209213315031326]","[938.0604140004557,252.50367925693337]","[true,false]",10.209213315031326,262.7128925719637,252.50367925693337,1,1,0,20_25,0,0
v6,min_reff,10002,1,5.0,4102.227848,1,"[[-938.0604140004557,1.148792683412499e-13]]",[415.980887],[750.4017745078289],[16.999662461657667],[0.0],[true],16.999662461657667,325.0853611428373,0,0,0,1,le20_or_near,0,0
v6,min_reff,10002,2,2375.913452,2578.219128,2,"[[1369.0352341288683,-238.66671662316247],[1712.7472558564018,13.81386562842644]]","[2479.442858,2569.738672]","[431.1238092437216,34.8045562459336]","[34.8045562459336,17.40227812296661]","[492.6470310561087,426.4790713436356]","[false,false]",17.40227812296661,936.5283805227115,919.1261023997442,2,0,0,30_50,0,0
v6,min_reff,10002,3,3475.552913,3778.764686,2,"[[9.843835740663764,-1769.4202903191426],[-443.8890665471707,-1703.9048684599322]]","[3658.889033,3772.211289]","[465.1402526177531,21.506680712383343]","[21.506680712383343,7.766984348136421]","[359.2253528707609,215.27461808737914]","[false,false]",7.766984348136421,582.2669553062775,574.49997095814,2,1,0,20_25,0,0
v6,min_reff,10002,4,3469.552913,3723.156365,2,"[[107.57483681235004,-1423.744856458637],[-219.057016756929,-1669.157822310754]]","[3581.043962,3714.868294]","[441.76336967214394,32.96485359013741]","[32.96485359013741,16.440355808867743]","[497.4552473952991,249.89630402480518]","[false,false]",16.440355808867743,763.7919072289748,747.3515514201043,2,0,0,30_50,0,0
v6,min_reff,10002,5,29.0,4244.711654,2,"[[663.3088799023823,-663.3088799023825],[-1.7231890251187485e-13,-938.0604140004557]]","[2849.443781,3463.552913]","[750.2308236064787,50.14818014735001]","[50.14818014735001,13.259789484028985]","[0.0,0.0]","[true,true]",13.259789484028985,687.4190293508265,0,0,0,0,gt50,0,0
v6,min_reff,10002,6,35.0,504.242403,1,"[[-758.128104164104,44.893525986579476]]",[276.891231],[750.2310064894684],[13.73408733278985],[759.4561547574463],[false],13.73408733278985,1175.7637362170733,759.4561547574463,1,0,1,le20_or_near,0,0
v6,min_reff,10002,8,617.667572,854.881273,1,"[[-569.4726637637385,1158.1474293238991]]",[790.398982],[454.76828465432123],[15.716896262906896],[503.65705142766444],[false],15.716896262906896,801.0685085464988,503.65705142766444,1,0,1,le20_or_near,0,0
v6,min_reff,10002,9,1314.420235,1745.84398,2,"[[-634.7541777561569,1358.9058551841285],[11.152248345133046,1299.7451336885288]]","[1496.738816,1641.613912]","[441.8931701076835,23.11867116519637]","[23.11867116519637,10.270428643318398]","[761.5929040793219,435.5348585594128]","[false,false]",10.270428643318398,1693.2781008059258,1197.1277626387346,2,1,0,20_25,0,0
v6,min_reff,10002,11,2867.443781,3303.834533,1,"[[837.8947288389038,-1478.67428250254]]",[3199.865705],[621.6288899221352],[17.672112703517524],[134.38718224279535],[false],17.672112703517524,629.2313201526697,134.38718224279535,1,0,1,le20_or_near,0,0
v6,min_reff,10002,12,71.0,2176.513381,1,"[[297.6912953019696,945.981578370071]]",[1941.754902],[750.4017745078289],[19.479465274630915],[949.5546112788396],[false],19.479465274630915,1276.1997653616372,949.5546112788396,1,0,1,le20_or_near,0,0
v6,min_reff,10002,13,641.667572,1549.50694,1,"[[5.743963417062496e-14,938.0604140004557]]",[1296.420235],[614.4782042514433],[16.615436739389246],[0.0],[true],16.615436739389246,238.84061989232592,0,0,0,1,le20_or_near,0,0
v6,min_reff,10002,17,2891.443781,3166.988269,1,"[[552.254772962041,-1531.827813828054]]",[3084.561816],[457.13415901475054],[15.49932853280761],[875.5901742571704],[false],15.49932853280761,1262.7224417280356,875.5901742571704,1,0,1,le20_or_near,0,0
v6,min_reff,10002,19,677.667572,1019.789942,1,"[[-696.6687742002673,1421.773256933217]]",[914.536603],[431.52244732694936],[17.787138110904966],[268.2766514546736],[false],17.787138110904966,769.5433443941531,268.2766514546736,1,0,1,le20_or_near,0,0
v6,min_reff,10003,1,5.0,566.227776,1,"[[-663.3088799023825,-663.3088799023824]]",[312.612083],[750.2316237200214],[16.7747674947709],[938.0604140004557],[true],16.7747674947709,206.55156675617826,0,0,0,1,le20_or_near,0,0
v6,min_reff,10003,2,3806.98707,4029.71052,1,"[[3.806954715956607,-1042.1377449782074]]",[3964.09941],[736.0171100517621],[15.435660321489],[760.5616992323761],[false],15.435660321489,1063.6172515452386,760.5616992323761,1,0,1,le20_or_near,0,0
v6,min_reff,10003,3,2200.290447,2540.936617,1,"[[1147.4559838364298,961.7612007796857]]",[2479.998616],[486.56556150853874],[17.122733762182197],[18.974312873897794],[false],17.122733762182197,298.6643201449291,18.974312873897794,1,0,1,le20_or_near,0,0
