version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,guaranteed_clear_attempts,guaranteed_clear_successes,guaranteed_clear_failures,certificate_ready_channels_at_exit
w6_persistent_bearing,27,4,random,34,1,14,14,14,5,9,8760.499985,625.7499989285715,31292.499928542467,6258.499985708493,412,2060.0,372,372.0,14,0,70.0,1,-7.08492734702304e-07,1.862005040999989,,14,14,0,0,140,30,120,8,0,25,0,all_resolved,7217.035581394586,140,107,2250.4071162789173,6510.0928687210835,14,24,0,0,14,13,13,0,[]
w6_persistent_bearing,27,4,random,35,1,14,14,14,13,1,6573.795791,469.55684221428567,22413.97894414745,4482.7957888294895,339,1695.0,326,326.0,14,0,70.0,1,2.170510015275795e-06,4.449802167000001,,14,14,0,0,128,45,95,6,0,25,0,all_resolved,8041.064071841568,128,118,2366.2128143683135,4207.582976631686,23,0,0,0,23,13,13,0,[]
w6_persistent_bearing,27,4,random,36,1,12,12,12,3,9,9080.481832,756.7068193333333,29782.409156109512,5956.481831221902,522,2610.0,454,454.0,12,0,60.0,3,7.780963642289862e-07,2.816536792000008,,12,12,0,0,195,47,159,9,0,25,0,all_resolved,9466.455747693155,195,132,3000.291149538631,6080.190682461369,29,39,0,1,29,9,9,0,[]
w6_persistent_bearing,27,4,random,37,1,15,15,15,7,8,8847.835316,589.8556877333334,33924.176568985735,6784.835313797147,340,1700.0,288,288.0,15,0,75.0,1,2.2028543753549457e-06,5.268744000000012,,15,15,0,0,143,41,115,6,0,25,0,all_resolved,14396.917384136459,143,98,3692.383476827292,5155.451839172709,26,35,0,0,26,14,14,0,[]
w6_persistent_bearing,27,4,random,38,1,15,15,15,9,6,7227.501669,481.8334446,26382.508330427976,5276.501666085595,315,1575.0,301,301.0,15,0,75.0,1,2.9144048312446102e-06,3.1925573749999927,,15,15,0,0,106,34,82,7,0,25,0,all_resolved,4625.083975344017,106,97,1552.0167950688033,5675.4848739311965,16,0,0,0,16,14,14,0,[]
w6_persistent_bearing,27,4,random,39,1,11,11,11,5,6,7142.043858,649.2767143636364,22555.219279117024,4511.043855823405,433,2165.0,411,411.0,11,0,55.0,0,2.1765954443253577e-06,2.2104246659999944,,11,11,0,0,123,28,104,7,0,25,0,all_resolved,6317.762532741722,123,107,1985.5525065483444,5156.491351451656,9,9,0,0,9,11,11,0,[]
w6_persistent_bearing,27,4,random,40,1,13,13,13,12,1,6566.650025,505.12692499999997,22038.250108601074,4407.650021720215,353,1765.0,329,329.0,13,0,65.0,1,3.2797852327348664e-06,2.428806917000003,,13,13,0,0,90,26,73,5,0,25,0,all_resolved,5642.117929015595,90,72,1650.423585803119,4916.226439196881,13,9,0,0,13,12,12,0,[]
w6_persistent_bearing,27,4,random,41,1,13,13,13,5,8,8402.596745,646.3535957692309,29332.983713949372,5866.596742789874,420,2100.0,371,371.0,13,0,65.0,2,2.210126694990322e-06,1.7644007919999751,,13,13,0,0,100,21,88,5,0,25,0,all_resolved,8101.1887909073475,100,57,2177.2377581814694,6225.358986818532,10,39,0,0,10,11,11,0,[]
w6_persistent_bearing,27,4,random,42,1,15,15,15,11,4,6439.097007,429.27313380000004,22985.48503917361,4597.097007834722,297,1485.0,282,282.0,15,0,75.0,0,-8.347215043613687e-07,3.056319207999991,,15,15,0,0,66,26,49,3,0,25,0,all_resolved,3341.4071863892373,66,58,1056.2814372778475,5382.815569722153,13,3,0,0,13,15,15,0,[]
w6_persistent_bearing,27,4,random,43,1,10,10,10,1,9,7400.797091,740.0797091000001,25883.985443319627,5176.797088663925,367,1835.0,339,339.0,10,0,50.0,2,2.3360753402812406e-06,1.869133416000011,,10,10,0,0,55,11,50,2,0,25,0,all_resolved,5518.363164793551,55,34,1412.6726329587102,5988.12445804129,7,17,0,0,7,8,8,0,[]
