run,suite,seed,channel,time_s,observation_count,feasible_vertices,mec_radius_m,mec_center_x,mec_center_y,valid,clear_ready
28,random,28,18,3899.571227,2,4,206.3839279480146,737.4642363797745,-1302.5512305299117,1,0
28,random,28,4,3965.571227,2,4,255.57623987403335,906.2768553150045,-1338.816083501492,1,0
28,random,28,8,4214.581431,1,5,650.0313252982227,1182.200363110518,-856.6855950350348,1,0
28,random,28,18,4268.581431,3,5,16.40579321926983,683.1586017057236,-1335.5949902472887,1,1
28,random,28,4,4394.209594,3,4,193.28482793482988,900.4696424244003,-1342.1411675172558,1,0
28,random,28,4,4470.461586,4,4,154.17698590391097,898.8295150194599,-1343.4854045177149,1,0
28,random,28,4,4539.417965,5,4,90.59961599778272,904.7754636227507,-1336.9807421427345,1,0
28,random,28,4,4765.520299,6,3,10.343836306611669,833.8317846128868,-1374.503862780325,1,1
28,random,28,8,4777.520299,2,4,29.272623667167473,1225.3300781143444,-695.135926600472,1,0
28,random,28,13,4807.520299,2,4,39.77090283776786,732.6303558809757,343.4409860238416,1,0
28,random,28,20,4837.520299,2,4,17.761072699871974,738.2701552729587,-319.2718379280834,1,1
28,random,28,4,4847.461342,7,3,9.789412394181479,833.3416906628911,-1374.7630804395458,1,1
28,random,28,20,4914.952589,3,4,15.207770525824733,739.1777368377911,-319.76320184028793,1,1
28,random,28,13,4965.78365,3,4,30.276455615568395,739.3697632455,346.3907351946373,1,0
28,random,28,13,5110.679562,4,5,15.232974957417536,733.8273710793434,342.4238555425663,1,1
28,random,28,11,5122.679562,1,4,585.5606518079245,1209.1488952734846,534.4989081702515,1,0
28,random,28,8,5140.679562,3,5,18.732299282889404,1224.7490661008742,-695.9531483030153,1,1
28,random,28,5,5146.679562,1,5,701.3662243998812,1055.5357904596353,696.1308851641306,1,0
28,random,28,13,5219.741417,5,5,14.476143997300651,735.7255234768298,343.99481737759515,1,1
28,random,28,11,5969.097512,2,4,41.03553804664496,1298.7009585055066,699.7816893488817,1,0
28,random,28,5,5993.097512,2,4,27.67566303148872,1039.1188658063375,487.87442420531204,1,0
28,random,28,11,6081.097512,3,6,41.03553804664496,1298.7009585055066,699.7816893488817,1,0
28,random,28,5,6105.097512,3,4,25.571371520594372,1038.923552756834,486.76567883498956,1,0
28,random,28,11,6160.193598,4,5,37.34889166973904,1296.9824779199946,696.2761572864673,1,0
28,random,28,11,6177.743844,5,4,30.023819461816405,1293.526567306294,693.2177752220562,1,0
28,random,28,5,6234.455575,4,4,18.687466516964584,1038.7647337673893,486.58033495988684,1,1
28,random,28,8,6544.555278,4,6,17.71680903076726,1226.1136526173245,-695.782941023497,1,1
28,random,28,8,6674.555278,5,6,17.23252720776699,1226.14091563023,-695.247416678128,1,1
28,random,28,8,6816.704189,6,5,11.894318497202068,1225.0947103813928,-697.6933010146145,1,1
28,random,28,8,6916.704189,7,4,11.175382187188692,1225.882104955747,-696.9514276255398,1,1
28,random,28,8,6992.730655,8,4,9.84731167472594,1224.117378489072,-698.7350429962889,1,1
